week,game,pick,confidence,actual_winner,correct,score
2,Cleveland Browns @ Baltimore Ravens,Baltimore Ravens,16,Baltimore Ravens,True,17-41
2,Buffalo Bills @ New York Jets,Buffalo Bills,15,Buffalo Bills,True,30-10
2,Carolina Panthers @ Arizona Cardinals,Arizona Cardinals,14,Arizona Cardinals,True,22-27
2,Chicago Bears @ Detroit Lions,Detroit Lions,13,Detroit Lions,True,21-52
2,Los Angeles Rams @ Tennessee Titans,Los Angeles Rams,12,Los Angeles Rams,True,33-19
2,New York Giants @ Dallas Cowboys,Dallas Cowboys,11,Dallas Cowboys,True,37-40
2,Los Angeles Chargers @ Las Vegas Raiders,Los Angeles Chargers,10,Los Angeles Chargers,True,20-9
2,Atlanta Falcons @ Minnesota Vikings,Minnesota Vikings,9,Atlanta Falcons,False,22-6
2,Washington Commanders @ Green Bay Packers,Green Bay Packers,8,Green Bay Packers,True,18-27
2,Jacksonville Jaguars @ Cincinnati Bengals,Cincinnati Bengals,7,Cincinnati Bengals,True,27-31
2,San Francisco 49ers @ New Orleans Saints,San Francisco 49ers,6,San Francisco 49ers,True,26-21
2,Seattle Seahawks @ Pittsburgh Steelers,Pittsburgh Steelers,5,Seattle Seahawks,False,31-17
2,Tampa Bay Buccaneers @ Houston Texans,Houston Texans,4,Tampa Bay Buccaneers,False,20-19
2,Denver Broncos @ Indianapolis Colts,Denver Broncos,3,Indianapolis Colts,False,28-29
2,Philadelphia Eagles @ Kansas City Chiefs,Philadelphia Eagles,2,Philadelphia Eagles,True,20-17
2,New England Patriots @ Miami Dolphins,Miami Dolphins,1,New England Patriots,False,33-27
